palabra,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49
acceder,-0.40202644,0.23219581,0.2314586,0.10861762,-0.15887278,0.013933551,-0.5562483,-0.017347964,0.19406608,0.0072130226,0.23048046,0.37582052,0.7734321,0.13783576,-0.024043519,-0.33424357,0.4879181,-0.28823662,0.12252994,-0.23611425,0.24073593,-0.2460158,-0.13459803,-0.2303966,-0.15484239,0.11331429,-0.61666197,0.4652135,0.10148886,-0.36038262,0.061415378,-0.58081913,-0.7699587,0.438488,0.3830646,0.20659864,0.29838216,-0.2242347,0.24225175,-0.094171934,0.044600453,0.23523346,-0.23610584,0.3672982,-0.2764185,0.05150866,-0.45068204,0.14647977,0.40292308,0.10119973
privilegios,0.30303502,0.42855507,0.25017053,-0.17392352,0.28757712,0.77080137,-0.2101548,-0.46398684,-0.20128532,0.30803314,-0.30144647,0.3002836,0.17244634,-0.34659877,-0.58267325,0.13980892,-0.39018595,0.19654594,-0.21670197,0.19648717,0.23001191,-0.37647438,-0.5288081,0.74895674,0.16355316,0.21247396,0.032935504,-0.14236017,-0.22001037,-0.5744031,0.054144546,-0.18729106,0.09700912,-0.45941237,-0.20209466,-0.1614009,0.3476415,-0.011870092,0.6559092,-0.40576896,-0.28179938,0.38682383,0.21325509,-0.037216704,0.20649417,0.02006569,-0.11080289,-0.16429302,-0.33615753,-0.39781317
autenticacion,0.10869127,-0.05555423,-0.33751822,-0.20314643,-0.24828461,0.07664323,-0.51026195,0.05105671,-0.06445575,-0.6651375,0.31189376,0.24992874,0.32868454,-0.1805108,0.00062927976,0.26138112,0.096524075,-0.5842955,0.54530424,0.26492548,0.55986345,0.5076449,0.057812586,-0.028392702,-0.0046328274,0.15460879,0.42456824,0.19570461,-0.30632302,0.66965413,0.13618408,-0.21266015,-0.27192616,-0.05844198,0.32528982,0.024017036,-0.0029481016,0.12780428,-0.36296389,0.3291397,0.68471855,0.12318856,-0.16973853,-0.055440128,-0.05422849,-0.66245955,-0.29048145,-0.333406,-0.3456306,0.2883419
rutas,0.45434964,-0.016108677,-0.13524678,0.3598832,0.62201977,-0.45847517,0.087161765,0.7335849,-0.14330815,-0.81060374,-0.22728181,-0.25425413,0.073001295,0.49831402,-0.29211637,-0.0977455,-0.060474675,0.074705236,-0.614565,-0.02199953,0.28389776,-0.103953935,0.27028608,-0.14424114,-0.3615162,0.049538627,0.031212281,-0.5000876,0.6079698,-0.37751383,0.2502344,-0.3476546,0.6464531,0.36078155,-0.24529232,-0.0038429685,-0.16427784,-0.19679499,0.22972257,0.2664153,0.016868282,0.20911556,0.29156223,0.1439261,-0.7256567,0.25663197,0.60644436,0.46910223,0.3917419,0.30863366
archivos,0.04830018,-0.09129994,-0.44043863,-0.00029094238,0.29113284,-0.6235349,-1.0045766,0.5896804,0.053074047,-0.040842112,-0.43630785,0.09043843,0.44794613,0.319258,0.06455741,-0.5560675,0.69495857,0.3352826,-0.078394376,0.4279093,-0.028040005,-0.2546498,-0.26882908,-0.17760421,0.055264264,-0.317765,-0.2212974,-0.19747931,0.2553847,0.19867314,0.0771224,0.334712,-0.10845518,0.6451883,0.06833989,0.10284202,0.008531462,-0.32553235,0.19253656,-0.41434872,-0.22390048,0.2381561,0.8457218,0.0668967,-0.21544763,0.43849805,0.05552253,0.4550501,0.70828503,0.92204934
manipuladas,-0.22063534,0.0022233687,-0.053735882,-0.36215052,0.045864247,0.057788905,-0.02737692,0.17707242,-0.04929377,-0.9906006,-0.1347609,0.3921957,0.69132257,0.0013052765,0.5283394,0.5588763,0.31266236,0.033426803,0.25089222,-0.8412701,0.69735,-0.06533456,0.35809708,-0.012212843,-0.49806803,-0.1208483,0.28857118,0.2942152,0.25353593,0.18326186,0.71623653,-0.5580042,-0.32477856,0.1419713,0.017033242,-0.18604892,0.047235474,0.29683045,-0.38046262,-0.036695894,-0.27678844,0.10211492,0.4633447,0.23952225,-0.47322857,-0.040437527,-0.22680205,0.08243229,0.17346987,-0.5284103
sistema,-1.0013621,0.40505147,-0.40472072,0.4352742,0.6572868,0.46515563,-0.54252243,-0.06436767,0.30798098,0.16583818,0.38554016,-0.45786723,-0.35840917,0.34951422,0.34728572,0.013053367,0.5066873,0.29711938,-0.50432765,-0.23162246,0.010613761,0.13039358,0.1640011,0.44661438,0.118252054,0.13859159,-0.469676,-0.16277498,0.27370432,-0.95200074,-0.27862024,0.5443512,-0.056745708,-0.5406566,-0.14726117,-0.3464272,0.06443844,-0.41460893,0.018244516,-0.24169874,0.00083750207,0.11407929,0.14021678,-0.19229521,-0.10381673,0.5912263,0.0132974535,0.1514404,0.15250646,0.839021
control,-0.2521555,0.43021384,-0.34136578,0.107866466,-0.25488454,0.2017959,-0.3019808,0.002977061,0.56953263,0.6050429,0.092633426,-0.12314572,0.6108682,-0.29480192,0.21305619,0.051379625,0.3440324,0.1546585,-0.083674565,-0.6123402,-0.1773666,-0.26596946,-0.5193624,-0.100248866,-0.32173213,-0.28169492,0.51162404,-0.6210648,0.59180397,0.078048624,-0.6513654,0.020814756,0.25397214,0.36755526,0.21171384,-0.21040386,-0.36974466,-0.15370572,-0.3564253,0.051153567,0.6958963,-0.29411983,-0.2184499,-0.2224478,0.32873827,0.4040876,0.19341306,-0.15601525,0.03971318,0.8954029
acceso,-0.04533562,0.55854154,0.063474484,0.06680767,-0.011033126,0.46472406,-0.021152724,-0.59620506,0.4500933,0.30078372,0.29517645,0.70767224,0.96788454,0.012677072,-0.30311602,-0.19876155,-0.1572745,0.103373766,0.14411205,-0.09283328,0.42056572,0.32172093,-0.53068244,-0.077221386,-0.36812276,-0.2603152,-0.072228216,0.4954744,0.28048608,-0.45057297,-0.36440817,-0.15517817,0.050913468,0.04066226,-0.646575,0.18154651,-0.48268133,0.25924727,-0.052197427,-0.28189844,0.056684427,0.38421085,-0.38784555,-0.4349138,0.6940284,0.3701876,0.09168806,-0.23787321,-0.4429409,-0.15917449
recursos,-0.12308314,-0.18371084,0.5186686,0.12558074,-0.21931468,-0.22812878,-0.4252994,0.14959416,0.2734389,-0.13186845,-0.26330265,-0.6406294,0.29457358,0.68944633,0.2802773,-0.4363029,0.63424355,0.7123459,-0.033653382,0.33577132,-0.6701337,0.55425304,-0.18696362,-0.088499814,-0.119282626,0.28975227,-0.29098293,0.17895855,0.50079334,-0.0015251879,0.32496694,0.76505923,-0.142747,0.37081942,-0.3964672,-0.11861916,-0.40449613,-0.2777992,0.3956294,0.013313789,0.16207886,-0.23578939,-0.26591128,-0.12167481,0.6397247,0.0067453864,0.6789653,-0.03818824,0.8639243,0.46529087
