posicion,token
0,documentacian
1,laboratoriopsw
2,dss
3,path
4,traversal
5,recorrido
6,rutas
7,permite
8,acceder
9,archivos
10,directorio
11,autorizado
12,usando
13,rutas
14,manipuladas
15,etc
16,passwd
17,acceder
18,archivos
19,criticos
20,sistema
21,access
22,control
23,control
24,acceso
25,restricciones
26,determinan
27,acceder
28,recursos
29,sistema
30,permitir
31,usuarios
32,permisos
33,modificar
34,eliminar
35,informacion
36,vertical
37,privilege
38,escalation
39,escalada
40,privilegios
41,vertical
42,usuario
43,privilegios
44,bajos
45,obtiene
46,acceso
47,funciones
48,datos
49,usuarios
50,privilegios
51,altos
52,usuario
53,regular
54,obteniendo
55,permisos
56,administrador
57,authentication
58,vulnerabilities
59,vulnerabilidades
60,autenticacion
61,fallos
62,mecanismos
63,autenticacion
64,permiten
65,atacantes
66,acceder
67,credenciales
68,validas
69,ataques
70,fuerza
71,bruta
72,autenticacion
73,rota
74,cookies
75,manipuladas
76,ssrf
77,server
78,side
79,request
80,forgery
81,falsificacion
82,solicitudes
83,servidor
84,atacante
85,engana
86,servidor
87,haga
88,solicitudes
89,http
90,recursos
91,internos
92,externos
93,autorizados
94,usarse
95,escanear
96,redes
97,internas
98,acceder
99,servicios
100,protegidos
